City_ID,City,Country,Description,Max Temp,Lat,Lng,Hotel Name
594,Sao Geraldo Do Araguaia,BR,few clouds,74.75,-6.4006,-48.555,Hotel Por do Sol
595,Tezu,IN,broken clouds,62.85,27.9167,96.1667,Circuit House
600,Huarmey,PE,overcast clouds,66.96,-10.0681,-78.1522,Hotel Miramar
603,Santa Isabel Do Rio Negro,BR,overcast clouds,75.06,-0.4139,-65.0192,Hotel GSA
607,Namibe,AO,clear sky,69.08,-15.1961,12.1522,Hotel Chik Chik Namibe
608,Esmeralda,CU,clear sky,74.44,21.8525,-78.1169,Centro de Pioneros Exploradores
612,Tonantins,BR,overcast clouds,75.06,-2.8731,-67.8022,Hotel Rei Davi
614,Douglas,US,clear sky,61.9,41.3,-96.167,Hilton Garden Inn Omaha West
615,Plettenberg Bay,ZA,overcast clouds,57.74,-34.0527,23.3716,Thanda Vista B&B
619,Twentynine Palms,US,few clouds,69.94,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
620,Mbuji-Mayi,CD,light rain,69.01,-6.15,23.6,GKT Hotel
621,Farafangana,MG,broken clouds,72.72,-22.8167,47.8333,Miarina
622,Lodhran,PK,clear sky,63.63,29.5405,71.6336,Gulshan e khalil
627,Wanning,CN,broken clouds,69.71,18.8003,110.3967,Paradise Hotel
628,Tamluk,IN,clear sky,71.58,22.3,87.9167,Green Valley Resort
631,Taunggyi,MM,clear sky,58.86,20.7833,97.0333,True Treasure Hotel
632,Ampanihy,MG,broken clouds,70.29,-24.7,44.75,Angora Hotel
639,Arlit,NE,overcast clouds,74.95,18.7369,7.3853,Case de Passage De la Prefecture
642,Sao Felix Do Xingu,BR,overcast clouds,75.97,-6.6447,-51.995,Rio Xingu Camping
646,Posse,BR,moderate rain,68.29,-14.0931,-46.3694,Pousada das Palmeiras
647,Junin,AR,clear sky,67.41,-34.5838,-60.9433,Hotel Central
648,Teknaf,BD,clear sky,71.6,20.8624,92.3058,Forestry Guesthouse
650,Pallipattu,IN,overcast clouds,72.9,13.3386,79.4449,Annur Holiday Resorts
651,Maua,BR,few clouds,74.35,-23.6678,-46.4614,Hotel Capriccio Mauá
656,Tocopilla,CL,clear sky,64.56,-22.092,-70.1979,Hotel Galvarino
664,Carmelo,UY,clear sky,73.35,-33.9892,-58.2856,Los Muelles Boutique Hotel
667,Tripoli,LY,overcast clouds,67.14,32.8752,13.1875,Hotel Al-Safwa
671,Moron,AR,clear sky,69.93,-34.6534,-58.6198,Hotel Morón
684,Illapel,CL,clear sky,62.6,-31.6308,-71.1653,Hotel Londres
686,Nongpoh,IN,clear sky,62.17,25.9,91.8833,Bei sumer cottage
691,Contai,IN,clear sky,69.71,21.7786,87.7536,PATHFINDER
693,Marechal Candido Rondon,BR,overcast clouds,70.25,-24.5561,-54.0567,Hotel Bender
702,Torres,BR,scattered clouds,65.82,-29.3353,-49.7269,Farol Hotel
708,Durban,ZA,broken clouds,66.02,-29.8579,31.0292,Hilton Durban
711,Esna,EG,clear sky,63.55,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
716,Chumphon,TH,overcast clouds,72.7,10.3333,98.8333,สกาน จ๋า.
720,Tres Coracoes,BR,clear sky,66.49,-21.6969,-45.2533,Hotel Capri
723,Akonolinga,CM,overcast clouds,66.7,3.7667,12.25,Le Diamant De Mireille
724,Bras-Panon,RE,broken clouds,73.06,-20.9967,55.6782,le meublé
725,San Clemente,US,clear sky,70.27,33.427,-117.61200000000001,Casablanca Inn
729,Curup,ID,overcast clouds,71.1,-3.4667,102.5333,Ayi The Costel
730,Trelew,AR,overcast clouds,74.46,-43.248999999999995,-65.3051,Hotel Touring Club
731,Gwanda,ZW,clear sky,70.88,-20.9333,29.0,Mafax Homeways
732,Arona,ES,few clouds,67.39,28.0996,-16.680999999999997,Paradise Court
733,Muhororo,UG,broken clouds,61.81,0.9381,30.7594,Muhorro Executive Hotel
740,Marawi,PH,broken clouds,74.64,7.9986,124.2928,Derogongan Residence
742,General Roca,AR,clear sky,73.8,-39.0333,-67.5833,Hotel y Casino del Río General Roca
743,Araruama,BR,broken clouds,69.19,-22.8728,-42.3431,Apartamento Quality
744,Fort Morgan,US,clear sky,63.81,40.2503,-103.8,Hampton Inn Fort Morgan
747,Pimenta Bueno,BR,broken clouds,74.46,-11.6725,-61.1936,Cristalina Palace Hotel
749,Canico,PT,broken clouds,69.01,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
755,Mariana,BR,overcast clouds,67.17,-20.3778,-43.4161,MINAS POUSADA E HOTEL LTDA
758,Black River,JM,clear sky,74.98,18.0264,-77.8487,Idlers' Rest Beach Hotel
764,Deloraine,AU,overcast clouds,68.79,-41.5333,146.6667,Mountain View Country Inn
765,Muisne,EC,overcast clouds,74.03,0.6,-80.0333,Quinta Samay
773,Doha,QA,clear sky,75.18,25.2867,51.5333,Movenpick Hotel Doha
776,Bull Savanna,JM,scattered clouds,75.15,17.8868,-77.5902,Big Red's
779,Elat,IL,overcast clouds,65.37,29.5581,34.9482,Club Hotel Eilat
780,Sedhiou,SN,broken clouds,75.72,12.7081,-15.5569,Auberge Cheznous
788,Marsabit,KE,few clouds,68.47,2.3284,37.9899,Chicho Hotel
789,Woodward,US,clear sky,65.43,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
794,Vega De Alatorre,MX,clear sky,71.55,20.0333,-96.6333,El Polo Norte
800,Potiskum,NG,scattered clouds,74.62,11.7091,11.0694,Yobe NYSC Orietation Camp Dazigau
802,Villa Carlos Paz,AR,clear sky,74.39,-31.4241,-64.4978,Monte Carlo
805,Kadhan,PK,scattered clouds,68.27,24.480999999999998,68.9859,ڳوٺ چوڌري جلال الدين جٽ
806,Sibiti,CG,moderate rain,69.37,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
809,Mokolo,CM,clear sky,73.62,10.7398,13.8019,Diwa Hôtel
811,Keti Bandar,PK,broken clouds,74.34,24.1447,67.4497,Haji laloo memon house
812,Asfi,MA,broken clouds,61.52,32.2994,-9.2372,Hôtel Abda
813,Reconquista,AR,clear sky,74.48,-29.15,-59.65,Grand Hotel
815,Hambantota,LK,light intensity shower rain,75.54,6.1241,81.1185,Bungalow 63
816,Gulu,UG,broken clouds,66.61,2.7746,32.299,ACHOLI INN
817,Fatehabad,IN,clear sky,59.49,29.5167,75.45,Duke Hotel & Restaurant
819,Bilma,NE,clear sky,74.3,18.6853,12.9164,Expeditions Ténére voyages
824,La Cruz,MX,scattered clouds,74.57,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
830,Omboue,GA,moderate rain,74.3,-1.5746,9.2618,Hotel Olako
831,Adeje,ES,few clouds,71.56,28.1227,-16.726,Gran Tacande Wellness & Relax
832,Rabo De Peixe,PT,broken clouds,67.28,37.8,-25.5833,Quinta das Giestas
833,Campos Altos,BR,few clouds,67.28,-19.6961,-46.1714,Hotel São José
834,Mercedes,AR,clear sky,67.84,-34.6515,-59.4307,Posada del Inti Centro
836,Malumfashi,NG,broken clouds,73.18,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
